3G,4G,5G,Audio Jack,Battery,Bluetooth,Brand Name,Color,CPU Clock Speed,CPU Cores,Display Resolution,Display Size,Display Type,Expandable Storage,Flash,Fingerprint Scanner,Fingerprint Scanner Type,GPS,GPU Name,Hybrid Slot,Internal Storage,Model Name,Model No,Name,No of Front Cameras,No of Rear Cameras,OS,OTG Compatible,Primary Camera,RAM,Ratings,Reviews,Stars,Secondary Camera,Sim Type,Sim Size,Touchscreen,Weight,WiFi
Yes,YES,,3.5 mm,No,Yes,Gome,Gold,2 GHz,Octa Core,HD,15.21 cm (5.99 inch),IPS,64 GB,Yes,,,A-GPS,ARM Mali-G71 GPU,No,16 GB,C7 Note,C7 Note,Gome C7 Note,,3,No,No,13MP 5MP 13MP,2 GB,6,1,4.8,,Dual Sim,Nano SIM,Capacitve,,Yes
YES,YES,,3.5mm,4000 mAh,v4.2,OPPO,Sky White,2.1 GHz,Octa Core,2400 x 1080 Pixels,16.51 cm (6.5 inch),AMOLED,,Rear Flash,,,"BeiDou, GLONASS",ARM Mali-G72 MP3 900MHz,No,128 GB,Reno2 F,CPH1989,OPPO Reno2 F,1.0,4,Android Pie 9,Yes,48MP 8MP 2MP 2MP,8 GB,1664,158,4.5,16MP,Dual Sim,Dual Nano SIM,Multi-touch Capacitive Screen,195 g,802.11a/b/g/n/ac
YES,YES,,3.5mm,3260 mAh,Yes,XOLO,Midnight Blue,2 GHz,Octa Core,Yes,15.8 cm (6.22 inch),HD+,256 GB,Rear Dual Led Flash and Front Screen Flash,Yes,,"A-GPS, Glonass",,No,64 GB,ZX,,XOLO ZX,1.0,2,Android Oreo 8.1,No,13MP 5MP,4 GB,17,4,3.8,16MP,Dual Sim,Dual Nano Sim,Yes,160 g,Yes
YES,YES,,3.5mm,3260 mAh,Yes,XOLO,Electric Blue,2 GHz,Octa Core,Yes,15.8 cm (6.22 inch),HD+,256 GB,Rear Dual Led Flash and Front Screen Flash,Yes,,"A-GPS, Glonass",,No,64 GB,ZX,,XOLO ZX,1.0,2,Android Oreo 8.1,No,13MP 5MP,4 GB,17,4,3.8,16MP,Dual Sim,Dual Nano Sim,Yes,160 g,Yes
YES,YES,,,4500 mAh,Yes,Samsung,Prism Crush Blue,2.3 GHz,Octa Core,2340 x 1080 Pixels,17.02 cm (6.7 inch),Super AMOLED Infinity-O Display,512 GB,Rear Flash,,,Yes,ARM | Mali G72 MP3,No,128 GB,Galaxy A71,SM-A715FZBWINS,Samsung Galaxy A71,1.0,4,Android 10,Yes,64MP 12MP 5MP 5MP,8 GB,91,8,4.7,32MP,Dual Sim,Nano SIM,Yes,183 g,Yes
Yes,YES,,,No,Yes,Meizu,Gold,2 GHz,Quad Core,720 x 1440$$Pixels,13.84 cm (5.45 inch),Full HD,128 GB,Yes,,,,,No,16 GB,C9,M818H,Meizu C9,1.0,1,Android Oreo 8.1,Yes,13MP,2 GB,1208,170,4.1,8MP,Dual Sim,Nano SIM,Yes,,Yes
YES,YES,,,Lithium Ion,Yes,Nokia,Steel,2 GHz,Quad Core,720 x 1520 pixels,14.5 cm (5.71 inch),HD+,400 GB,Single LED Flash,,,,,No,32 GB,2.2,HQ5020DA06000,Nokia 2.2,1.0,1,Android Pie 9.0,Yes,13MP,3 GB,1365,120,3.9,5MP,Dual Sim,,Yes,,Yes
HSPA+,YES,,,Li-Ion,v4.2,Apple,Silver,,,3840 x 2160,13.97 cm (5.5 inch),LED-backlit IPS,,Quad LED True Tone Flash,Yes,,"A-GPS, GLONASS",,No,32 GB,iPhone 7 Plus,MNQN2HN/A,Apple iPhone 7 Plus,1.0,2,iOS 12,No,12MP 12MP,,23729,2546,4.5,7MP,Single Sim,Nano Sim,Yes,188 g,802.11 a/b/g/n/ac
Yes,YES,,,4000 mAh,v5.0,Tecno,Opal White,2.35 GHz,Octa Core,2340 x 1080 Pixels,16.59 cm (6.53 inch),Incell TFT,256 GB,Rear Quad LED Flash,Yes,,"GLONASS, BeiDou, Galileo",,No,128 GB,Camon 15 Pro,CD8,Tecno Camon 15 Pro,1.0,3,Android 10,Yes,48MP 2MP 5MP,6 GB,8,0,3.5,32MP,Dual Sim,Dual Nano SIM,Yes,203 g,Yes
YES,YES,,,4000 mAh,5,Huawei,Sapphire Blue,2.2 GHz,Octa Core,2340 x 1080 pixels,16.74 cm (6.59 inch),Full HD+,,,Yes,,"A-GPS, Glonass, BeiDou, Galileo, QZSS",,Yes,128 GB,Y9 Prime 2019,STK - L22,Huawei Y9 Prime 2019,1.0,3,Android Pie 9,Yes,16MP 8MP 2MP,4 GB,526,50,4.3,16MP,Dual Sim,,Yes,,"2.4GHz: IEEE 802.11 b/g/n, MIMO, 5GHz: IEEE 802.11 a/n/ac"
